"create_date","update_date","coherence","geom","height","lat","lon","ordering","geom_4326","periodic_properties","old_scatterer_id","scatterer_id"
"2020-05-14 19:39:32.649874","2020-11-11 16:52:55.562073","0.7","0101000020110F00003E36A4A6F8A33C41652522B18F2D5341","33.6","41.101949","16.86124",50988125,"0101000020E6100000CD0182397ADC3040116E32AA0C8D4440","{""g"": {""a"": 4.5668, ""v"": 0.5, ""an"": 0.1175}, ""ly"": {""a"": 1.5338, ""v"": 3.0014, ""an"": 0.0404}}",1190205763,711255192
"2020-05-14 19:39:32.649874","2020-11-11 16:52:55.562073","0.81","0101000020110F00000D08C531F2A33C41D137C5FC8F2D5341","19.2","41.101957","16.861182",272946391,"0101000020E610000064E76D6C76DC3040944C4EED0C8D4440","{""g"": {""a"": 7.7314, ""v"": 1.0, ""an"": 0.2011}, ""ly"": {""a"": 1.7775, ""v"": 0.0792, ""an"": 0.0468}}",1190205769,711255186
"2020-05-14 19:39:32.649874","2020-11-11 16:52:55.562073","0.83","0101000020110F00000EEA50DBEFA33C41E25E2219902D5341","17.7","41.10196","16.861161",412394106,"0101000020E610000035971B0C75DC304005C078060D8D4440","{""g"": {""a"": 11.2593, ""v"": 0.5, ""an"": 0.2943}, ""ly"": {""a"": 8.3344, ""v"": -6.2212, ""an"": 0.2195}}",1190205775,711255180
"2020-05-14 19:39:32.649874","2020-11-11 16:52:55.562073","0.63","0101000020110F0000744BC7BFF1A33C41D137C5FC8F2D5341","13.2","41.101957","16.861178",1407010686,"0101000020E6100000E108522976DC3040944C4EED0C8D4440","{""g"": {""a"": 5.7676, ""v"": 0.0, ""an"": 0.1493}, ""ly"": {""a"": 2.3354, ""v"": -2.5714, ""an"": 0.0615}}",1190205781,711255174
"2020-05-14 19:39:32.649874","2020-11-11 16:52:55.562073","0.82","0101000020110F00006FECA6EFDEA33C4196ADC5CC902D5341","16.8","41.101979","16.861009",470082202,"0101000020E6100000C98FF8156BDC30407CF0DAA50D8D4440","{""g"": {""a"": 7.6777, ""v"": 0.0, ""an"": 0.1997}, ""ly"": {""a"": 3.3509, ""v"": 5.132, ""an"": 0.0882}}",1190205786,711255169
"2020-05-14 19:39:32.649874","2020-11-11 16:52:55.562073","0.86","0101000020110F00005673AB0BDEA33C4124103AD6902D5341","14.3","41.10198","16.861001",826430339,"0101000020E6100000C4D2C08F6ADC30404C6C3EAE0D8D4440","{""g"": {""a"": 3.887, ""v"": 0.0, ""an"": 0.0996}, ""ly"": {""a"": 0.766, ""v"": 2.2903, ""an"": 0.0202}}",1190205792,711255163
"2020-05-14 19:39:32.649874","2020-11-11 16:52:55.562073","0.89","0101000020110F00002F940B6A51A23C411C0AD374A12D5341","34.1","41.10243","16.857438",2135978168,"0101000020E6100000FF58880E81DB30408C101E6D1C8D4440","{""g"": {""a"": 4.4974, ""v"": 0.0, ""an"": 0.1157}, ""ly"": {""a"": 1.0709, ""v"": -0.1383, ""an"": 0.0282}}",1190206075,711254882
"2020-05-14 19:39:32.649874","2020-11-11 16:52:55.562073","0.69","0101000020110F00003D09566710A23C415ADB7830A42D5341","22.6","41.102504","16.856854",543377987,"0101000020E61000006072A3C85ADB3040C7DADFD91E8D4440","{""g"": {""a"": 5.7417, ""v"": 3.0, ""an"": 0.1486}, ""ly"": {""a"": 4.6395, ""v"": 0.6084, ""an"": 0.1222}}",1190206144,711254813
"2020-05-14 19:39:32.698773","2020-11-11 16:52:55.562073","0.75","0101000020110F0000170731F8889F3C41B6A03198162D5341","29.6","41.09867","16.851038",1591601555,"0101000020E61000003BA759A0DDD93040548CF337A18C4440","{""g"": {""a"": 11.1269, ""v"": -0.5, ""an"": 0.2908}, ""ly"": {""a"": 11.1269, ""v"": 3.5399, ""an"": 0.2930}}",1190196501,711264295
"2020-05-14 19:39:32.698773","2020-11-11 16:52:55.562073","0.92","0101000020110F0000F8CEE18D989F3C4147E604EE152D5341","15.8","41.098652","16.851178",1178333096,"0101000020E61000001F1329CDE6D93040AED7F4A0A08C4440","{""g"": {""a"": 3.9995, ""v"": -0.5, ""an"": 0.1025}, ""ly"": {""a"": 2.1484, ""v"": -1.4395, ""an"": 0.0566}}",1190196506,711264290
